spp;local;site;ind;latitude;longitude;sampler;collaborator;fixation;month;year;TL_mm;SL_mm;weight_g;intestine_mm;QI;mean_temp;mouth_volume;fullness;ni_algae;bivalve;ceramiales;cladophorales;copepoda;corallinales;dictyotales;ectocarpales;eggs;fish_scale;gastropoda;gelidiales;hexacorallia;insect;sediment;polychaeta;ulvales;plastic;organic_detritus;total
ophioblennius_trinitatis;rocas_atoll;falsa_barreta;14;-3,860634;-33,818888;lucas_nunes;na;formaldehyde;may;2016;58;48;na;140;2,41379;29,7;na;na;na;na;na;na;na;na;na;na;na;na;na;na;na;na;na;na;na;na;na;na
ophioblennius_trinitatis;rocas_atoll;falsa_barreta;15;-3,860634;-33,818888;lucas_nunes;na;formaldehyde;may;2016;57;45;na;135;2,36842;29,7;na;na;na;na;na;na;na;na;na;na;na;na;na;na;na;na;na;na;na;na;na;na
ophioblennius_trinitatis;rocas_atoll;falsa_barreta;16;-3,860634;-33,818888;lucas_nunes;na;formaldehyde;may;2016;76;63;na;175;2,30263;29,7;na;na;na;na;na;na;na;na;na;na;na;na;na;na;na;na;na;na;na;na;na;na
ophioblennius_trinitatis;rocas_atoll;falsa_barreta;17;-3,860634;-33,818888;lucas_nunes;na;formaldehyde;may;2016;65;56;na;205;3,15385;29,7;na;na;na;na;na;na;na;na;na;na;na;na;na;na;na;na;na;na;na;na;na;na
ophioblennius_trinitatis;rocas_atoll;falsa_barreta;18;-3,860634;-33,818888;lucas_nunes;na;formaldehyde;may;2016;64;53;na;134;2,09375;29,7;na;na;na;na;na;na;na;na;na;na;na;na;na;na;na;na;na;na;na;na;na;na
ophioblennius_trinitatis;rocas_atoll;falsa_barreta;19;-3,860634;-33,818888;lucas_nunes;na;formaldehyde;may;2016;78;62;na;166;2,12821;29,7;na;na;na;na;na;na;na;na;na;na;na;na;na;na;na;na;na;na;na;na;na;na
ophioblennius_trinitatis;rocas_atoll;falsa_barreta;20;-3,860634;-33,818888;lucas_nunes;na;formaldehyde;may;2016;68;56;na;145;2,13235;29,7;na;na;na;na;na;na;na;na;na;na;na;na;na;na;na;na;na;na;na;na;na;na
ophioblennius_trinitatis;rocas_atoll;falsa_barreta;21;-3,860634;-33,818888;lucas_nunes;na;formaldehyde;may;2016;55;44;na;90;1,63636;29,7;na;na;na;na;na;na;na;na;na;na;na;na;na;na;na;na;na;na;na;na;na;na
ophioblennius_trinitatis;spspa;enseada;1;0,917042;-29,345565;lucas_nunes;alana_fraga;formaldehyde;october;2015;84;65;na;238;2,83333;27,8;na;2;0;0,01;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;53;53,01
ophioblennius_trinitatis;spspa;enseada;2;0,917042;-29,345565;lucas_nunes;na;formaldehyde;october;2015;65;52;na;182;2,8;27,8;na;na;na;na;na;na;na;na;na;na;na;na;na;na;na;na;na;na;na;na;na;na
